record_id,record_type,module_class,dimension,size_raw,size_value_mm,size_min_mm,size_max_mm,size_secondary_mm,size_qualifier,rank,market_frequency,manufacturability,appliance_compatibility,hardware_compatibility,design_relevance,recommended_use,source_layer,source_ref,evidence,comparison_note
MKT-123,market_baseline,decorative_cover_strip,gap_coverage,0–10,,0,10,,range,D,niche,high,na,na,medium,"закрытие малого зазора, не functional filler",PRIMARY,deep-research-report.md / Основная нормализованная таблица,IKEA METOD strip,канонический внешний baseline 3.1
MKT-124,market_baseline,cover_panel,thickness,12,12,12,12,,exact,D,niche,high,na,na,high,system-specific exposed-side panel,PRIMARY,deep-research-report.md / Основная нормализованная таблица,IKEA METOD,канонический внешний baseline 3.1
MKT-125,market_baseline,base_rear_gap,gap,10,10,10,10,,exact,D,system-specific,high,indirect,na,low,только как пример METOD installation geometry,PRIMARY,deep-research-report.md / Основная нормализованная таблица,IKEA: ≈590 carcass inside 600 system depth,канонический внешний baseline 3.1
QWN-001,qwen_market_supplement,wall_general,width,150,150,150,150,,exact,D,niche,high,low,medium,medium,узкий специализированный верхний модуль/вставка,QWEN_SUPPLEMENT,Qwen PDF p.8,Qwen: 150 мм указан как специализированная ширина верхнего модуля,добавлено только как непересекающееся дополнение; не переопределяет ранги PRIMARY
QWN-002,qwen_market_supplement,wall_general,height,300,300,300,300,,exact,NA,na,high,low,high,medium,дополнительная европейская высота верхнего модуля; reference-only,QWEN_SUPPLEMENT,Qwen PDF pp.8-9,Qwen перечисляет 300 мм среди распространённых европейских высот верхних шкафов,добавлено только как непересекающееся дополнение; не переопределяет ранги PRIMARY
QWN-003,qwen_market_supplement,wall_general,height,360,360,360,360,,exact,NA,na,high,low,high,medium,дополнительная европейская высота верхнего модуля; reference-only,QWEN_SUPPLEMENT,Qwen PDF pp.8-9,Qwen перечисляет 360 мм среди распространённых европейских высот верхних шкафов,добавлено только как непересекающееся дополнение; не переопределяет ранги PRIMARY
QWN-004,qwen_market_supplement,wall_general,height,420,420,420,420,,exact,NA,na,high,low,high,medium,дополнительная европейская высота верхнего модуля; reference-only,QWEN_SUPPLEMENT,Qwen PDF pp.8-9,Qwen перечисляет 420 мм среди распространённых европейских высот верхних шкафов,добавлено только как непересекающееся дополнение; не переопределяет ранги PRIMARY
QWN-005,qwen_market_supplement,wall_general,height,840,840,840,840,,exact,NA,na,high,low,high,medium,дополнительная европейская высота верхнего модуля; reference-only,QWEN_SUPPLEMENT,Qwen PDF pp.8-9,Qwen перечисляет 840 мм среди распространённых европейских высот верхних шкафов,добавлено только как непересекающееся дополнение; не переопределяет ранги PRIMARY
QWN-006,qwen_market_supplement,wall_general,height,900,900,900,900,,exact,NA,na,high,low,high,medium,дополнительная европейская высота верхнего модуля; reference-only,QWEN_SUPPLEMENT,Qwen PDF pp.8-9,Qwen перечисляет 900 мм среди распространённых европейских высот верхних шкафов,добавлено только как непересекающееся дополнение; не переопределяет ранги PRIMARY
QWN-007,qwen_market_supplement,wall_carcass,depth,390,390,390,390,,exact,NA,low,high,low,medium,medium,увеличенная глубина верхнего шкафа; только как системный/дизайнерский вариант,QWEN_SUPPLEMENT,Qwen PDF p.9,Qwen отмечает вариант глубины около 390 мм для отдельных верхних шкафов,добавлено только как непересекающееся дополнение; не переопределяет ранги PRIMARY
QWN-008,qwen_market_supplement,tall_universal,height,2166,2166,2166,2166,,exact,NA,low,high,medium,high,medium,высокий пенал; system-specific reference,QWEN_SUPPLEMENT,Qwen PDF pp.9-10,Qwen приводит 2166 мм как встречающуюся высоту высокого шкафа,добавлено только как непересекающееся дополнение; не переопределяет ранги PRIMARY
QWN-009,qwen_market_supplement,tall_universal,height,2406,2406,2406,2406,,exact,NA,low,high,medium,high,medium,очень высокий пенал; system-specific reference,QWEN_SUPPLEMENT,Qwen PDF pp.9-10,Qwen приводит 2406 мм как встречающуюся высоту высокого шкафа,добавлено только как непересекающееся дополнение; не переопределяет ранги PRIMARY
QWN-010,qwen_ergonomic_reference,wall_installation,clearance_above_worktop,500-600,,500,600,,range,NA,na,na,na,na,medium,эргономический ориентир расстояния от столешницы до нижнего края верхних шкафов; не жёсткая константа,QWEN_SUPPLEMENT,Qwen PDF p.9,Qwen указывает общий ориентир 50-60 см,добавлено только как непересекающееся дополнение; не переопределяет ранги PRIMARY
QWN-011,qwen_technical_constraint,hardware_merivobox,internal_depth_min,505,505,505,505,,exact,NA,na,na,na,direct,na,минимальная внутренняя глубина для конкретной системы MERIVOBOX; проверять актуальную документацию SKU,QWEN_SUPPLEMENT,Qwen PDF p.14,Qwen: MERIVOBOX требует внутреннюю глубину не менее 505 мм,добавлено только как непересекающееся дополнение; не переопределяет ранги PRIMARY
QWN-012,qwen_technical_constraint,hardware_tandembox,drawer_width_min,113,113,113,113,,exact,NA,na,na,na,direct,na,пример минимальной ширины узкого ящика для специализированной системы; не ширина модуля,QWEN_SUPPLEMENT,Qwen PDF p.14,Qwen: Tandembox допускает узкие ящики примерно от 113 мм,добавлено только как непересекающееся дополнение; не переопределяет ранги PRIMARY
QWN-013,qwen_technical_constraint,hardware_corner_carousel,internal_depth_min,490,490,490,490,,exact,NA,na,na,na,direct,na,минимальная внутренняя глубина для отдельных угловых каруселей Hettich; system-specific,QWEN_SUPPLEMENT,"Qwen PDF pp.11,14",Qwen: для некоторых Hettich corner carousel требуется внутренняя глубина не менее 490 мм,добавлено только как непересекающееся дополнение; не переопределяет ранги PRIMARY
QWN-014,qwen_technical_constraint,hardware_corner_carousel,internal_height_min,580,580,580,580,,exact,NA,na,na,na,direct,na,минимальная внутренняя высота для отдельных угловых каруселей Hettich; system-specific,QWEN_SUPPLEMENT,"Qwen PDF pp.11,14",Qwen: для некоторых Hettich corner carousel требуется внутренняя высота не менее 580 мм,добавлено только как непересекающееся дополнение; не переопределяет ранги PRIMARY
QWN-015,qwen_technical_constraint,hardware_avantech_you,cabinet_width_min,120,120,120,120,,exact,NA,na,na,na,direct,na,минимальная ширина корпуса для отдельной конфигурации AvanTech YOU; system-specific,QWEN_SUPPLEMENT,Qwen PDF p.14,Qwen приводит минимальную ширину корпуса около 120 мм для AvanTech YOU,добавлено только как непересекающееся дополнение; не переопределяет ранги PRIMARY
QWN-016,qwen_technical_constraint,carcass_panel,thickness,16-19,,16,19,,range,NA,na,high,na,high,na,типовой диапазон толщины боковых стенок корпуса по Qwen; reference-only,QWEN_SUPPLEMENT,Qwen PDF p.14,Qwen указывает 16-19 мм как стандартный диапазон толщины боковых стенок,добавлено только как непересекающееся дополнение; не переопределяет ранги PRIMARY
QWN-017,qwen_technical_constraint,front_panel,thickness,16-19,,16,19,,range,NA,na,high,na,high,medium,типовой диапазон толщины фасада по Qwen; reference-only,QWEN_SUPPLEMENT,Qwen PDF p.14,Qwen указывает 16-19 мм как частый диапазон толщины фасадов,добавлено только как непересекающееся дополнение; не переопределяет ранги PRIMARY
